aspect,phrase,polarity,review
film,overall the film was worthwhile.,positive,the drama was a little cheezy but overall the film was worthwhile.
drama,the drama was a little cheezy ,negative,the drama was a little cheezy but overall the film was worthwhile.
Story line,Story line was on the spot,positive,Story line was on the spot.
characters,I love the creativity,positive,I love the creativity of the entire plot and the characters.
plot,I love the creativity,positive,I love the creativity of the entire plot and the characters.
Russel Crowe,fantastic job,positive,Russel Crowe does a fantastic job as Maximus and Pheonix is great as Commodus.
Pheonix,Pheonix is great as Commodus,positive,Russel Crowe does a fantastic job as Maximus and Pheonix is great as Commodus.
the Matrix,see the Matrix,neutral,I'd rather see the Matrix.
Joaquin Phoenix, best actor,positive,"If Joaquin Phoenix doesn't win the Oscar for best actor and 'Joker' doesn't win at the VERY least, best screenplay, it will be one of the biggest Oscar snubs of our time"
screenplay,best screenplay,positive,"If Joaquin Phoenix doesn't win the Oscar for best actor and 'Joker' doesn't win at the VERY least, best screenplay, it will be one of the biggest Oscar snubs of our time"
plot,full of plot holes,negative,"A storyline so full of plot holes, I considered it an insult to my intelligence."
storyline,full of plot holes,negative,"A storyline so full of plot holes, I considered it an insult to my intelligence."
scene,I watch all three in next to each other,neutral,"I can't remember much else from that other than a scene on a wall ( that might of been the third I don't know , I watch all three in next to each other )"
draws,scared me,negative,"So bad, so bored, and really, the draws just scared me, they are so horrible in many ways ."
movie,There are so many iconic lines and moments throughout the movie,positive,There are so many iconic lines and moments throughout the movie that have been replicated and entrenched in culture over the years.
lines,There are so many iconic lines and moments throughout the movie,positive,There are so many iconic lines and moments throughout the movie that have been replicated and entrenched in culture over the years.
moments,There are so many iconic lines and moments throughout the movie,positive,There are so many iconic lines and moments throughout the movie that have been replicated and entrenched in culture over the years.
story,the story lacks logic in parts,negative,the story lacks logic in parts and the final sequence is a little too much.
final sequence,the final sequence is a little too much,negative,the story lacks logic in parts and the final sequence is a little too much.
film,very intersting.,positive,"I loved the story of this film, based on true event this make the film very intersting."
story,true event this make the film very intersting.,positive,"I loved the story of this film, based on true event this make the film very intersting."
first half hour,it has already stated everything that it has to say.,neutral,"Following the first half hour, however, it has already stated everything that it has to say."
Brando,The only standout that I see is Brando's incredible acting.,positive,The only standout that I see is Brando's incredible acting.
movie,brilliantly made movie,positive,It might be a brilliantly made movie but it has played with real historical characters and mixed them up with fictional characters.
fictional characters,It might be a brilliantly made movie but it has played with real historical characters and mixed them up with fictional characters.,negative,It might be a brilliantly made movie but it has played with real historical characters and mixed them up with fictional characters.
Acting,everything is 10/10,positive,"Acting, Cinematography, Music, Screenplay, Costumes, Gotham etc everything is 10/10.Oscar worthy performanceby by Joaquin Phoenix."
Cinematography,everything is 10/10,positive,"Acting, Cinematography, Music, Screenplay, Costumes, Gotham etc everything is 10/10.Oscar worthy performanceby by Joaquin Phoenix."
Music,everything is 10/10,positive,"Acting, Cinematography, Music, Screenplay, Costumes, Gotham etc everything is 10/10.Oscar worthy performanceby by Joaquin Phoenix."
Screenplay,everything is 10/10,positive,"Acting, Cinematography, Music, Screenplay, Costumes, Gotham etc everything is 10/10.Oscar worthy performanceby by Joaquin Phoenix."
Costumes,everything is 10/10,positive,"Acting, Cinematography, Music, Screenplay, Costumes, Gotham etc everything is 10/10.Oscar worthy performanceby by Joaquin Phoenix."
Gotham,everything is 10/10,positive,"Acting, Cinematography, Music, Screenplay, Costumes, Gotham etc everything is 10/10.Oscar worthy performanceby by Joaquin Phoenix."
Joaquin Phoenix,Oscar worthy performance,positive,"Acting, Cinematography, Music, Screenplay, Costumes, Gotham etc everything is 10/10.Oscar worthy performanceby by Joaquin Phoenix."
Marlon Brando,excellent,positive,Marlon Brando is excellent though.
story,fantastic and intriguing story,positive,Really shows the cruel and brutal part of the world with a fantastic and intriguing story.
special effects,redeeming quality,positive,Completely noisy trash that contained slow motion special effects as its only redeeming quality.
violence,melange of violence,neutral,This movie amounts to a melange of violence against a plot of nothing.
plot,plot of nothing,negative,This movie amounts to a melange of violence against a plot of nothing.
story,u waste couple of hrs,negative,"It had the worst ending ever u waste couple of hrs for an endless story,"
ending,It had the worst ending ever u waste couple of hrs,negative,"It had the worst ending ever u waste couple of hrs for an endless story,"
made,beautifully made and acted movie,positive,"A lot of people have paid their dues in the crazy department, and this would be ultimately ho-hum, although a beautifully made and acted movie."
acted,beautifully made and acted movie,positive,"A lot of people have paid their dues in the crazy department, and this would be ultimately ho-hum, although a beautifully made and acted movie."
story,The story comes before the name of the actors involved.,positive,The story comes before the name of the actors involved.
actors,The story comes before the name of the actors involved.,positive,The story comes before the name of the actors involved.
movies,I struggle with this sort of thing regardless of where it has been made,negative,Art house movies aren't my thing really so I struggle with this sort of thing regardless of where it has been made.
film,genius,positive,"The city of god is a genius film, genius director, it really gives an insight into the life of Brazilian crime."
director,genius,positive,"The city of god is a genius film, genius director, it really gives an insight into the life of Brazilian crime."
Multiple endings,Multiple endings were irritating,negative,Multiple endings were irritating.
battle scenes,The battle scenes were not bad,positive,The battle scenes were not bad either.
acting,phenomenal,positive,"The acting, cinematography, sound design, and the script itself is phenomenal."
cinematography,phenomenal,positive,"The acting, cinematography, sound design, and the script itself is phenomenal."
sound design,phenomenal,positive,"The acting, cinematography, sound design, and the script itself is phenomenal."
script,phenomenal,positive,"The acting, cinematography, sound design, and the script itself is phenomenal."
filmed,Beautifully filmed and written,positive,"Beautifully filmed and written, it is like reading a great novel, the heroes are villains but you get so lost in the story it doesn't matter, it is a prime example of the art of movie making, perhaps the best."
written,"Beautifully filmed and written, it is like reading a great novel",positive,"Beautifully filmed and written, it is like reading a great novel, the heroes are villains but you get so lost in the story it doesn't matter, it is a prime example of the art of movie making, perhaps the best."
story,the heroes are villains,neutral,"Beautifully filmed and written, it is like reading a great novel, the heroes are villains but you get so lost in the story it doesn't matter, it is a prime example of the art of movie making, perhaps the best."
villains,the heroes are villains,neutral,"Beautifully filmed and written, it is like reading a great novel, the heroes are villains but you get so lost in the story it doesn't matter, it is a prime example of the art of movie making, perhaps the best."
movie making,the best,positive,"Beautifully filmed and written, it is like reading a great novel, the heroes are villains but you get so lost in the story it doesn't matter, it is a prime example of the art of movie making, perhaps the best."
movie,good,positive,"Good movie, interesting story line, but never in a million years could win a oscar for best movie of the year."
story line,interesting,positive,"Good movie, interesting story line, but never in a million years could win a oscar for best movie of the year."
movie,average movie,negative,It is an average movie but with a slightly better storyline.
storyline,slightly better,positive,It is an average movie but with a slightly better storyline.
conclusion,outstandingly perfect,positive,An emotionally outstanding conclusion to a trilogy already outstandingly perfect
plot,boared and weak plot,negative,"I only saw a bored and weak plot, nothing new, all time with this kind of movies is marketing, I am getting bored with super heroes movies, even more action parts are so simples"
action parts,"I am getting bored with super heroes movies, even more action parts are so simples",negative,"I only saw a bored and weak plot, nothing new, all time with this kind of movies is marketing, I am getting bored with super heroes movies, even more action parts are so simples"
movie,I am getting bored with super heroes movies,negative,"I only saw a bored and weak plot, nothing new, all time with this kind of movies is marketing, I am getting bored with super heroes movies, even more action parts are so simples"
Jack Nicholson,corny plot,negative,So a tongue-in-cheek Joker (Jack Nicholson) goes well with the tongue-in-cheek corny plot.
story,the most artistic imagination,positive,A very powerful story with the most artistic imagination to recreate it.
movie,awesome,positive,"The first of the movie was awesome, but the end is absurd"
end,absurd,negative,"The first of the movie was awesome, but the end is absurd"
visualization,impressive,positive,The visualization is really impressive. But the story sucks.
story,the story sucks,negative,The visualization is really impressive. But the story sucks.
Fran Walsh,It's a shame,negative,It's a shame that Fran Walsh and Peter Jackson succumbed to the trend to Hollywoodize everything adapted for the big screen.
Peter Jackson,Hollywoodize everything adapted for the big screen,negative,It's a shame that Fran Walsh and Peter Jackson succumbed to the trend to Hollywoodize everything adapted for the big screen.
director,the director flat out said it didn't,neutral,"The character doesn't even stay true to the comics and the director flat out said it didn't, and then they made it seem like it was part of Gothams fall and he was just a little boy that had a laughing problem."
character,The character doesn't even stay true to the comics,negative,"The character doesn't even stay true to the comics and the director flat out said it didn't, and then they made it seem like it was part of Gothams fall and he was just a little boy that had a laughing problem."
graphics," similar to ""Cop"" from 1988. HOW can so much people enjoyed this?",negative,"Don't know what's worse, the pathethic acting from almost everyone (Damon won the price tho for insignificant character) or the robots with graphics similar to ""Cop"" from 1988. HOW can so much people enjoyed this?"
