aspect,phrase,polarity,review
chase scenes,I paid $10,neutral,I paid $10 to watch two chase scenes.
film,it would have been a much better,negative,"I think it would have been a much better film if Nolan would have spent half that money, and focused on what he really wants to tell the audience."
Nolan,focused on what he really wants to tell the audience,positive,"I think it would have been a much better film if Nolan would have spent half that money, and focused on what he really wants to tell the audience."
plot,lame,negative,However i think the plot is kind of lame.
plot,"high scale, and a complex manner",negative,"As for the plot and the story, I think they are of such a high scale, and a complex manner, it can be quite hard to follow."
story,"high scale, and a complex manner",negative,"As for the plot and the story, I think they are of such a high scale, and a complex manner, it can be quite hard to follow."
Ralph Fiennes,if anything made a mockery of the Academy Awards,negative,"One moan, please can someone explain to me how Ralph Fiennes lost out for an Oscar to Tommy Lee Jones (The Fugitive) - if anything made a mockery of the Academy Awards, this decision did."
Tommy Lee Jones,if anything made a mockery of the Academy Awards,negative,"One moan, please can someone explain to me how Ralph Fiennes lost out for an Oscar to Tommy Lee Jones (The Fugitive) - if anything made a mockery of the Academy Awards, this decision did."
Academy Awards,if anything made a mockery,negative,"One moan, please can someone explain to me how Ralph Fiennes lost out for an Oscar to Tommy Lee Jones (The Fugitive) - if anything made a mockery of the Academy Awards, this decision did."
Thomas Keneally,the writer who told Schindler's story,neutral,Thomas Keneally - the writer who told Schindler's story.
rating,quite rapidly,negative,Its rating will fall quite rapidly over the next ten years.
George Miller,zillions of dollars bigger budget and nought heart.,negative,George Miller more or less remade his own Mad Max 2 thirty-five years later with zillions of dollars bigger budget and nought heart.
budget,zillions of dollars bigger budget ,neutral,George Miller more or less remade his own Mad Max 2 thirty-five years later with zillions of dollars bigger budget and nought heart.
acting,great acting and a good plot,positive,This had great acting and a good plot.
plot,good plot,positive,This had great acting and a good plot.
Schindler's List,nearly flawless acting,positive,"Schindler's List does exactly this better than almost any other film through nearly flawless acting, beautiful cinematography, and a fantastic story, historically accurate or not."
acting,nearly flawless,positive,"Schindler's List does exactly this better than almost any other film through nearly flawless acting, beautiful cinematography, and a fantastic story, historically accurate or not."
cinematography,beautiful,positive,"Schindler's List does exactly this better than almost any other film through nearly flawless acting, beautiful cinematography, and a fantastic story, historically accurate or not."
sound,FX awards,neutral,"False Flag critics thought it was going to win BIG Oscars as a strike against the man for Feminism (or some garbage) but all it ended up winning were sound and FX awards, nothing important (well not the big awards!"
costumes,action packed and exciting,positive,"Loved it - the costumes, performances and car chases were action packed and exciting to watch."
performances,action packed and exciting,positive,"Loved it - the costumes, performances and car chases were action packed and exciting to watch."
Nolen,i love literally every movie he has done,positive,"I am not a Nolen basher, i love literally every movie he has done, and was very excited to see this, most disappointed i have been since IT Chapter 2."
character development,extremely little focus,negative,"There's extremely little focus on character development (you don't REALLY care about any of the characters), & the dialogue could have been better written (again, it's not BAD - just not Jonathan Nolan good)."
dialogue,better written,positive,"There's extremely little focus on character development (you don't REALLY care about any of the characters), & the dialogue could have been better written (again, it's not BAD - just not Jonathan Nolan good)."
Jonathan Nolan,the dialogue could have been better written,negative,"There's extremely little focus on character development (you don't REALLY care about any of the characters), & the dialogue could have been better written (again, it's not BAD - just not Jonathan Nolan good)."
stunt work,top notch,positive,The stunt work is also top notch!
quality,higher quality and of course less brutal,positive,"So this movie nearly feels like the original recordings, except with a higher quality and of course less brutal (especially when you think about the LEAN Jews in this time)."
Schindler,Schindler has to leave the Jews,neutral,The end of the movie is very sad when Schindler has to leave the Jews.
director,only used the same tricks as everyone else to awake our feelings,negative,The director has here only used the same tricks as everyone else to awake our feelings.
Cary Grant,comedy,neutral,"A Cary Grant comedy, a Mel Brooks film..."
Mel Brooks,Cary Grant comedy,neutral,"A Cary Grant comedy, a Mel Brooks film..."
Oscar Schindler,he says many Jews,neutral,Short and Simple Review by WubsTheFadgerSchindler's List tells the story of Oscar Schindler as he says many Jews during
James Bond,James Bond will I am sure prove better,positive,"My hope now is that 'Blockbuster' films to follow, Black Widow, Wonder Women 1984 and James Bond will I am sure prove better all round entertainment, soundtracks, stunts and empathy with characters."
entertainment,all round,positive,"My hope now is that 'Blockbuster' films to follow, Black Widow, Wonder Women 1984 and James Bond will I am sure prove better all round entertainment, soundtracks, stunts and empathy with characters."
soundtracks,empathy with characters,positive,"My hope now is that 'Blockbuster' films to follow, Black Widow, Wonder Women 1984 and James Bond will I am sure prove better all round entertainment, soundtracks, stunts and empathy with characters."
movie's,enjoy a movie's  every second,positive,What do you need more to enjoy a movie's every second from first to last...
TENET,even Inception is like a joke,negative,"Plot of the movie is so complicated that even Inception is like a joke compare to TENET. That's the main reason why I love Nolan, he makes you really think about the plot."
Nolan,he makes you really think about the plot.,positive,"Plot of the movie is so complicated that even Inception is like a joke compare to TENET. That's the main reason why I love Nolan, he makes you really think about the plot."
Furiosa,a fugitive commander and her band,neutral,"The plot revolve around Furiosa, a fugitive commander and her band who are all trying to escape a savage warlord Immortan Joe played by Hugh Keays-Byrne with the the help of Max."
Hugh Keays-Byrne,with the the help of Max,neutral,"The plot revolve around Furiosa, a fugitive commander and her band who are all trying to escape a savage warlord Immortan Joe played by Hugh Keays-Byrne with the the help of Max."
Max,with the the help of Max,neutral,"The plot revolve around Furiosa, a fugitive commander and her band who are all trying to escape a savage warlord Immortan Joe played by Hugh Keays-Byrne with the the help of Max."
Spielberg,great movie about the holocaust,positive,Spielberg did a great movie about the holocaust and how a non-Jew was in the forefront of saving Jews from certain death by the SS squads.
Tenet,spectacular show,positive,"Tenet nothing short of a spectacular show, a mind bending, espionage-thriller ride(seamlessly 2 and half hours)3reasons to watch: Nolan filmmaking, Hoyte Van Hoytema visuals, Ludwig Goranson background score!"
Nolan,"mind bending, espionage-thriller ride",positive,"Tenet nothing short of a spectacular show, a mind bending, espionage-thriller ride(seamlessly 2 and half hours)3reasons to watch: Nolan filmmaking, Hoyte Van Hoytema visuals, Ludwig Goranson background score!"
Ludwig Goranson,background score,neutral,"Tenet nothing short of a spectacular show, a mind bending, espionage-thriller ride(seamlessly 2 and half hours)3reasons to watch: Nolan filmmaking, Hoyte Van Hoytema visuals, Ludwig Goranson background score!"
scene,turns out to be a harmless shower - just as you're pulled in to think you're seeing the real thing,positive,"The scene where the viewer assumes that the women were to be executed turns out to be a harmless shower - just as you're pulled in to think you're seeing the real thing, Spielberg turns on the schmaltz again."
Spielberg,Spielberg turns on the schmaltz again,negative,"The scene where the viewer assumes that the women were to be executed turns out to be a harmless shower - just as you're pulled in to think you're seeing the real thing, Spielberg turns on the schmaltz again."
Shawshank redemption,hurting themselves,neutral,"Simple as that, people who are looking for Shawshank redemption (which happens to be my favorite movie of all time) in this clear mindless action film, are only hurting themselves."
Schindler's List,because I can not fathom,negative,Or perhaps it is simply because I can not fathom the impact `Schindler's List' had on me.
Schindler's List,"I like ""Schindler's List",positive,"""I like ""Schindler's List,"" but what is all the fuss about?"
movie,just to give this movie 10 stars,positive,I created this IMDb account just to give this movie 10 stars.
4K transfers,One of the best 4K transfers ive seen,positive,One of the best 4K transfers ive seen
action extravaganza,predictable and boring,negative,Other than that a predictable and boring action extravaganza.
bad guys,menacing,negative,The bad guys were menacing and the vehicles used in the film were frightening but so well done the people who put them together should be extremely proud.
vehicles,film were frightening but so well done the people who put them together should be extremely proud,positive,The bad guys were menacing and the vehicles used in the film were frightening but so well done the people who put them together should be extremely proud.
drivel,The Expendables look like Schindler's List by comparison,neutral,This drivel makes The Expendables look like Schindler's List by comparison.
Schindler's List,by comparison,neutral,This drivel makes The Expendables look like Schindler's List by comparison.
concept art,reaching back 10 years,neutral,"What's almost more impressive than the film itself (almost) is the making of it, with all cars and explosions being practical and the concept art reaching back 10 years."
Chris Nolan,absolutely brilliant and a classic,positive,I will say to you go watch this movie it is absolutely brilliant and a classic Chris Nolan movie.
Ralph F.,should have won best supporting actor in a supporting role,positive,The first thing to underline is that Ralph F. should have won best supporting actor in a supporting role.
action scenes,jaw dropping,positive,"To imagine and create a masterpiece of movie, with action scenes that are jaw dropping, and you want more and you get more ....."
