,Text,Intent
0,set a warning for when my bank account starts running low,oos
1,a show on broadway,oos
2,who has the best record in the nfl,oos
3,how do i find the area of a circle,oos
4,how many onions do i have on hand,oos
5,what is the name of the 13th president,oos
6,show me recent activity in my backyard,oos
7,how long will it take me to pay off my card if i pay an extra $50 a month over the minimum,oos
8,does our bank have free notary,oos
9,what were the top stories this week,oos
10,can i mix antifreeze with water,oos
11,are any earning reports due,oos
12,show me the channel guide,oos
13,is the pnc bank open,oos
14,where does the power steering fluid go,oos
15,when was the last time the president visited floridau,oos
16,how can i keep my windshield from fogging up in winter,oos
17,how do i compute the median of a set of numbers,oos
18,what is happening with brexit right nowu,oos
19,are there any new companies to look out for,oos
20,can you tell me how to compute price per ounce,oos
21,how to unclog a drain,oos
22,am kind of busy now,oos
23,what new reality shows are there for 2019,oos
24,what is the purpose or benefit of a cash advance,oos
25,how can i root an android phone,oos
26,is android better than iphone,oos
27,are androids expensive,oos
28,how long does it take to become an architect,oos
29,who are some famous living architects,oos
30,find out for me as to why people get autism,oos
31,is autism a genetic disease,oos
32,is flu contagious,oos
33,is it true that nicotine is harder to kick than heroin,oos
34,please inform me on bad habits and overcoming them,oos
35,are bad habits closely related with addictions,oos
36,does hypnosis work to break bad habits,oos
37,king of acid,oos
38,suo2,oos
39,what university in the united states offers the best biomedical engineering program,oos
40,what's the definition of nuclear engineering,oos
41,when was electrical engineering created,oos
42,what is naval engineering,oos
43,is it possible to survive in a black hole,oos
44,where do black holes come from,oos
45,what are black holes,oos
46,what was the final vote count in the brexit referendum,oos
47,can you tell me the latest georgia news,oos
48,is the brexit finalized yet,oos
49,the birds fly with there wings,oos
50,how the birds fly,oos
51,where does cannabis originate from,oos
52,how are my cannabis stocks doing,oos
53,is marijuana addictive,oos
54,should i hit or stay at 17 in blackjack,oos
55,what game has the best odds at a casino,oos
56,what's the best opening gambit for a game of chess,oos
57,what side in chess has the general advantage,oos
58,how do i get better at go,oos
59,how high does my sat score need to be to get into harvard,oos
60,what'll an education at boulder state college run,oos
61,what's the average gpa to get into yale,oos
62,what act score is considered good,oos
63,what cryptocurrency gained the most in 2018,oos
64,what's the best crypto to buy in 2019,oos
65,how is crypto legal,oos
66,are there any cybersecurity jobs available in pittsburgh,oos
67,how many firewalls should i have and what type,oos
68,how can i breach a network,oos
69,how does cybersecurity work,oos
70,how many countries in the world are democracies,oos
71,is the united states a democracy,oos
72,which nations are not democratic,oos
73,how does a democracy work,oos
74,please get me my wheelchair,oos
75,what's the best dog food to feed my puppy,oos
76,how do you know when your dog is ill,oos
77,what dog breed sold the most in 2018,oos
78,how much food should i feed my cat,oos
79,what does it mean if i dream of falling off a building,oos
80,is it bad to not remember your dreams,oos
81,why do we dream,oos
82,"do ducks eat meat, vegetables, or both",oos
83,what is the friendliest breed,oos
84,what do geese eat,oos
85,do ducks sleep,oos
86,are over the ear headphones better than in ear headphones,oos
87,what brand of earphones is the best reviewed of 2019,oos
88,are white and brown eggs any different,oos
89,where do eggs come from,oos
90,how can i easily replace a string on my guitar,oos
91,how do you learn how to play electric violin,oos
92,can you give me the standard tuning notes,oos
93,what is the cheapest electric guitar,oos
94,you want to know about current time now,oos
95,what does it mean to have equality,oos
96,what site publishes the most fake news,oos
97,can you tell me some fake news,oos
98,is cnn really fake news,oos
99,why is there fake news,oos
100,"in spanish, meet me tomorrow is said how",translate
101,"in french, how do i say, see you later",translate
102,how do you say hello in japanese,translate
103,how do i ask about the weather in chinese,translate
104,"how can i say ""cancel my order"" in french",translate
105,how do i say dinner in spanish,translate
106,how do you say good bye in french,translate
107,how do i say thank you in spanish,translate
108,how do i say good bye in chinese,translate
109,how can i say thank you very much in chinese,translate
110,i need to know how to say hello in france,translate
111,would you tell me how to say goodbye in france,translate
112,how do you say hello in mexico,translate
113,tell me how to say hello in chile,translate
114,i want to know how to say goodbye in france,translate
115,"would you translate a sentence into russian for me, please",translate
116,would you translate a phrase into mandarin for me,translate
117,"can you translate this name into spanish for me, please",translate
118,"could you translate this into chinese for me, please",translate
119,could you translate water into dutch for me,translate
120,transfer ten dollars from my wells fargo account to my bank of america account,transfer
121,take one hundred and fifty bucks from my wells fargo checking account and put it in my wells fargo savings account,transfer
122,put one hundred and seventy five bucks in my wells fargo checking account from my citibank savings account,transfer
123,move two hundred dollars to my chase savings account to my wells fargo checking account,transfer
124,move three hundred and fifty dollars from my citibank savings account to my chase savings account,transfer
125,move a dollar from my checkings to my savings,transfer
126,move my money to the other account,transfer
127,transfer funds to the other account,transfer
128,please transfer half of my funds to an alternate account,transfer
129,can you move my money to my savings,transfer
130,make an eft to my savings from my checking account,transfer
131,send 100 dollars from my vanguard money market to my wells fargo savings,transfer
132,i need 200 dollars transferred from my long island savings account to my chase checking,transfer
133,send from my bbc money market to my t rowe price money market seven thousand dollars,transfer
134,i need 2000 to go to my chase checking from my mellon bank savings account,transfer
135,move 100 dollars from my savings to my checking,transfer
136,transfer 1000 dollars from my first national bank to my bethpage federal credit union savings,transfer
137,take out of my checking 400 dollars and put it into my emergency savings account,transfer
138,i need to transfer one thousand dollars to my savings account from my checking,transfer
139,transfer 50 dollars from my checking account to my money market account,transfer
140,create a new timer,timer
141,i'd like to set a new timer,timer
142,help me set a timer please,timer
143,10 minutes is what the timer should be set at,timer
144,the timer should have 10 minutes set to it,timer
145,10 minutes is the setting for the timer,timer
146,the timer is calculated for 10 minutes,timer
147,set the timer for 10 minutes,timer
148,can you set a 30 second timer,timer
149,please set a timer to go off in 45 minutes,timer
150,i need you to create a timer,timer
151,i need a timer set please,timer
152,create a timer that is set to go off after 25 mins,timer
153,i need a timer that is set at 1 hour exactly,timer
154,could you set up a timer for me,timer
155,will you start a timer for me,timer
156,set up a 52 minute timer,timer
157,please set up a timer for me,timer
158,set 60 minutes for oven please,timer
159,please make the timer for cooking for for 2 hours,timer
160,may i please have a definition for the work churlish,definition
161,i want to know what trenchant means,definition
162,what is the meaning of fascism,definition
163,can you tell me what a septuagenarian is,definition
164,can you define the word schadenfreude,definition
165,what does unsavory mean,definition
166,please define erection for me,definition
167,what does idiosyncratic mean,definition
168,tell me the meaning of condemnation,definition
169,define monetary for me please,definition
170,tell me the meaning of hegemony,definition
171,what does indignation mean,definition
172,define ambivalence for me please,definition
173,please define institutional racism,definition
174,define antagonist for me please,definition
175,what does distinguish mean,definition
176,what is the meaning of word alliance,definition
177,i need to know what dominate means,definition
178,what is the definition of the word migrate,definition
179,tell me please what paean means,definition
180,i want to know what the purpose of life is,meaning_of_life
181,i want to hear what you think life's purpose is about,meaning_of_life
182,what do you think the purpose of life is,meaning_of_life
183,what is the purpose of existence,meaning_of_life
184,what do you think our purpose is in life,meaning_of_life
185,i'd like to know the meaning of life,meaning_of_life
186,what's your opinion on the meaning of life,meaning_of_life
187,what is life's purpose,meaning_of_life
188,tell me all about the meaning of life,meaning_of_life
189,tell me your thoughts about the meaning of life,meaning_of_life
190,do you have any ideas on the meaning of life,meaning_of_life
191,do you know the deeper meaning of life,meaning_of_life
192,tell me the meaning of life,meaning_of_life
193,"can you tell me, what is the meaning of life",meaning_of_life
194,"what is the meaning behind life, do you think",meaning_of_life
195,what is our purpose,meaning_of_life
196,what do you think we are on earth for,meaning_of_life
197,what do you think life is really about,meaning_of_life
198,do you think we have a higher calling,meaning_of_life
199,why are humans on earth,meaning_of_life
200,explain how do i get new insurance,insurance_change
201,tell me how to get new insurance,insurance_change
202,explain to me how do i get new insurance,insurance_change
203,i want to get new insurance,insurance_change
204,can you tell me how do i get new insurance,insurance_change
205,i'd like to know how changes are made to my insurance policy,insurance_change
206,how can i make changes for my insurance policy,insurance_change
207,can you tell me how changes on my insurance policy can be made,insurance_change
208,i'd like to know how to make changes for my insurance policy,insurance_change
209,could you tell me how to make changes to my insurance policy,insurance_change
210,tell me how to change my policy,insurance_change
211,i need to switch insurance plans,insurance_change
212,can you help me switch insurance plans,insurance_change
213,tell me how to make changes to my insurance policy,insurance_change
214,how do i switch to a new insurance plan,insurance_change
215,can you help me switch to a new insurance plan,insurance_change
216,how can i change information on my insurance policy,insurance_change
217,how do i make changes to my insurance policy,insurance_change
218,tell me how to change my insurance policy,insurance_change
219,"i need to change my insurance policy, how",insurance_change
220,please help me in finding my phone,find_phone
221,please help me find my lost phone,find_phone
222,i need your help finding my lost phone,find_phone
223,help me find my phone please,find_phone
224,tell me where i left my phone,find_phone
225,what did i do with my phone,find_phone
226,can you tell me where my phone is,find_phone
227,what happened to my cellphone,find_phone
228,do you remember where i left my cellphone,find_phone
229,where is my cellphone,find_phone
230,do you know where my cellphone is,find_phone
231,i have lost my phone,find_phone
232,"help me, i don't know where my phone is",find_phone
233,tell me my phone's location,find_phone
234,where would my phone be,find_phone
235,i need to know my phone's location,find_phone
236,help locate my phone,find_phone
237,can you find me my phone,find_phone
238,track down my phone for me,find_phone
239,my phone is lost and i need help finding it,find_phone
240,is traveling to france safe,travel_alert
241,is france safe to travel to,travel_alert
242,i need to know is traveling to france safe,travel_alert
243,can i travel to france as far as safety goes,travel_alert
244,can i safely travel to france or is it dangerous,travel_alert
245,are there any current travel alerts for brazil,travel_alert
246,are there any travel alerts for seattle,travel_alert
247,how safe is it to travel to guatemala right now and are there any alerts,travel_alert
248,are there any travel alerts for juarez,travel_alert
249,what's the danger level of flying to russia right now,travel_alert
250,are there any travel alerts for antarctica,travel_alert
251,are there any travel alerts for mountain view,travel_alert
252,does mexico have any travel alerts i should know about,travel_alert
253,does greece currently have any travel alerts in place,travel_alert
254,are there any travel alerts for brazil,travel_alert
255,how safe is it to visit spain,travel_alert
